# frequency_THz	|S|^2
14.9896229	6.667251446182449e-08
15.0046125229	6.667844560972981e-08
15.0196021458	6.66853585391078e-08
15.0345917687	6.669327198164163e-08
15.0495813916	6.670220474645992e-08
15.0645710145	6.671217571875379e-08
15.0795606374	6.672320385840041e-08
15.0945502603	6.673530819859553e-08
15.1095398832	6.674850784449617e-08
15.1245295061	6.676282197187176e-08
15.139519129	6.677826982576947e-08
15.1545087519	6.679487071919043e-08
15.1694983748	6.68126440317815e-08
15.1844879977	6.683160920854017e-08
15.1994776206	6.685178575853445e-08
15.2144672435	6.68731932536445e-08
15.229456866400001	6.689585132731575e-08
15.244446489300001	6.691977967333878e-08
15.259436112200001	6.694499804463987e-08
15.274425735100001	6.697152625210299e-08
15.289415358000001	6.699938416340635e-08
15.304404980900001	6.702859170188608e-08
15.319394603800001	6.705916884542266e-08
15.334384226700001	6.70911356253572e-08
15.349373849600001	6.712451212542421e-08
15.364363472500001	6.715931848072492e-08
15.3793530954	6.719557487671836e-08
15.3943427183	6.723330154824917e-08
15.4093323412	6.727251877860001e-08
15.4243219641	6.731324689858227e-08
15.439311587	6.735550628565239e-08
15.4543012099	6.739931736306968e-08
15.4692908328	6.744470059907901e-08
15.4842804557	6.749167650613827e-08
15.4992700786	6.75402656401759e-08
15.5142597015	6.759048859988867e-08
15.5292493244	6.764236602607866e-08
15.5442389473	6.769591860102604e-08
15.5592285702	6.77511670479027e-08
15.5742181931	6.780813213023408e-08
15.589207816	6.786683465138898e-08
15.6041974389	6.792729545412408e-08
15.6191870618	6.798953542016808e-08
15.6341766847	6.805357546984586e-08
15.6491663076	6.811943656175479e-08
15.6641559305	6.818713969248506e-08
15.679145553400001	6.825670589637799e-08
15.694135176300001	6.832815624534681e-08
15.709124799200001	6.840151184873301e-08
15.724114422100001	6.84767938532138e-08
15.739104045000001	6.855402344276519e-08
15.754093667900001	6.863322183866757e-08
15.769083290800001	6.871441029956569e-08
15.784072913700001	6.87976101215779e-08
15.799062536600001	6.888284263845933e-08
15.814052159500001	6.897012922181364e-08
15.829041782400001	6.90594912813636e-08
15.8440314053	6.915095026527008e-08
15.8590210282	6.924452766049885e-08
15.8740106511	6.9340244993259e-08
15.889000274	6.943812382947925e-08
15.9039898969	6.953818577534538e-08
15.9189795198	6.964045247789235e-08
15.9339691427	6.974494562565167e-08
15.9489587656	6.98516869493579e-08
15.9639483885	6.996069822270437e-08
15.9789380114	7.007200126315766e-08
15.9939276343	7.018561793283195e-08
16.0089172572	7.030157013941856e-08
16.0239068801	7.041987983716425e-08
16.038896503	7.054056902791985e-08
16.0538861259	7.066365976223158e-08
16.0688757488	7.078917414049727e-08
16.0838653717	7.091713431417758e-08
16.0988549946	7.10475624870599e-08
16.1138446175	7.118048091658511e-08
16.1288342404	7.131591191522467e-08
16.1438238633	7.145387785190876e-08
16.1588134862	7.159440115352337e-08
16.1738031091	7.173750430645163e-08
16.188792732	7.188320985816962e-08
16.2037823549	7.203154041889999e-08
16.2187719778	7.218251866332162e-08
16.2337616007	7.233616733231656e-08
16.2487512236	7.249250923479174e-08
16.2637408465	7.265156724953462e-08
16.2787304694	7.281336432712435e-08
16.2937200923	7.297792349189231e-08
16.3087097152	7.314526784393311e-08
16.3236993381	7.331542056115617e-08
16.338688961	7.34884049013956e-08
16.3536785839	7.366424420454767e-08
16.368668206800002	7.384296189476851e-08
16.3836578297	7.4024581482703e-08
16.398647452600002	7.420912656775804e-08
16.4136370755	7.439662084041058e-08
16.428626698400002	7.458708808455684e-08
16.443616321300002	7.478055217989687e-08
16.458605944200002	7.497703710434452e-08
16.473595567100002	7.517656693647507e-08
16.488585190000002	7.537916585799486e-08
16.503574812900002	7.558485815624133e-08
16.518564435800002	7.57936682267014e-08
16.533554058700002	7.600562057555026e-08
16.5485436816	7.62207398222078e-08
16.5635333045	7.643905070190592e-08
16.5785229274	7.666057806826494e-08
16.5935125503	7.688534689587407e-08
16.6085021732	7.711338228287718e-08
16.6234917961	7.734470945355366e-08
16.638481419	7.757935376088242e-08
16.6534710419	7.781734068910767e-08
16.6684606648	7.80586958562747e-08
16.6834502877	7.830344501674232e-08
16.6984399106	7.855161406367024e-08
16.7134295335	7.880322903146232e-08
16.7284191564	7.905831609817132e-08
16.7434087793	7.931690158784634e-08
16.7583984022	7.957901197282273e-08
16.7733880251	7.984467387594331e-08
16.788377648	8.011391407269835e-08
16.8033672709	8.03867594932836e-08
16.8183568938	8.066323722455092e-08
16.8333465167	8.094337451185754e-08
16.8483361396	8.122719876078511e-08
16.8633257625	8.151473753872665e-08
16.8783153854	8.180601857632447e-08
16.8933050083	8.210106976874144e-08
16.9082946312	8.239991917675003e-08
16.9232842541	8.270259502762427e-08
16.938273877	8.300912571581301e-08
16.9532634999	8.331953980337739e-08
16.9682531228	8.363386602016461e-08
16.9832427457	8.395213326370163e-08
16.9982323686	8.427437059878048e-08
17.0132219915	8.460060725670565e-08
17.0282116144	8.493087263417997e-08
17.0432012373	8.526519629178995e-08
17.0581908602	8.560360795206431e-08
17.0731804831	8.59461374970613e-08
17.088170106	8.629281496545071e-08
17.1031597289	8.664367054904506e-08
17.1181493518	8.699873458873192e-08
17.1331389747	8.735803756976016e-08
17.1481285976	8.772161011632261e-08
17.1631182205	8.808948298537777e-08
17.1781078434	8.846168705964396e-08
17.1930974663	8.883825333969961e-08
17.2080870892	8.921921293511e-08
17.2230767121	8.960459705450124e-08
17.238066335	8.999443699449049e-08
17.2530559579	9.038876412737514e-08
17.2680455808	9.078760988747533e-08
17.283035203700003	9.119100575601328e-08
17.2980248266	9.159898324440642e-08
17.313014449500002	9.201157387583146e-08
17.3280040724	9.242880916491624e-08
17.342993695300002	9.285072059538893e-08
17.3579833182	9.327733959551024e-08
17.372972941100002	9.370869751109185e-08
17.387962564000002	9.414482557588035e-08
17.402952186900002	9.458575487908428e-08
17.417941809800002	9.503151632977153e-08
17.432931432700002	9.548214061786863e-08
17.447921055600002	9.59376581714375e-08
17.462910678500002	9.639809910990229e-08
17.477900301400002	9.686349319283954e-08
17.492889924300002	9.733386976392899e-08
17.5078795472	9.780925768960452e-08
17.5228691701	9.828968529190759e-08
17.537858793	9.877518027499379e-08
17.5528484159	9.926576964468234e-08
17.5678380388	9.976147962038637e-08
17.5828276617	1.0026233553867231e-07
17.5978172846	1.0076836174764594e-07
17.6128069075	1.0127958149126159e-07
17.6277965304	1.017960167825568e-07
17.6427861533	1.0231768826472457e-07
17.6577757762	1.0284461505880477e-07
17.6727653991	1.0337681459667698e-07
17.687755022	1.0391430243786281e-07
17.7027446449	1.0445709206854697e-07
17.7177342678	1.0500519468101834e-07
17.7327238907	1.0555861893159738e-07
17.7477135136	1.061173706749141e-07
17.7627031365	1.0668145267220719e-07
17.7776927594	1.0725086427114408e-07
17.7926823823	1.0782560105442393e-07
17.8076720052	1.0840565445427997e-07
17.8226616281	1.0899101132978849e-07
17.837651251	1.0958165350380468e-07
17.8526408739	1.1017755725624747e-07
17.8676304968	1.1077869277049915e-07
17.8826201197	1.1138502352989404e-07
17.8976097426	1.1199650566165584e-07
17.9125993655	1.1261308722642619e-07
17.9275889884	1.1323470745272707e-07
17.9425786113	1.1386129591762475e-07
17.9575682342	1.1449277167774883e-07
